revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_display_name,source_funding_category_name,funding_nature,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,is_zero_amount,related_program_count,source_file,source_row_number
rd_2026_general_revenue_12_01_01_05_44_3235200000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,44,分庁舎,庁舎整備担当部 庁舎管理担当課,使用料,specific,10,10,0,false,1,ippansainyu.csv,16959
rd_2026_general_revenue_12_01_01_05_45_2435100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,45,鎌田区民センター,砧総合支所 地域振興課,使用料,specific,3,0,-3,true,0,ippansainyu.csv,16837
rd_2026_general_revenue_12_01_01_05_47_3445550000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,47,大蔵第二運動公園運動施設,スポーツ推進部 スポーツ施設課,使用料,specific,1300,1000,-300,false,1,ippansainyu.csv,17109
rd_2026_general_revenue_12_01_01_05_48_2135100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,48,弦巻区民センター,世田谷総合支所 地域振興課,使用料,specific,587,587,0,false,1,ippansainyu.csv,16747
rd_2026_general_revenue_12_01_01_05_50_3445550000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,50,総合運動場,スポーツ推進部 スポーツ施設課,使用料,specific,439,440,1,false,1,ippansainyu.csv,17110
rd_2026_general_revenue_12_01_01_05_51_3445550000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,51,千歳温水プール,スポーツ推進部 スポーツ施設課,使用料,specific,413,547,134,false,1,ippansainyu.csv,17111
rd_2026_general_revenue_12_01_01_05_52_2535100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,52,烏山総合支所,烏山総合支所 地域振興課,使用料,specific,8,8,0,false,1,ippansainyu.csv,16868
rd_2026_general_revenue_12_01_01_05_54_2535100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,54,上北沢区民センター,烏山総合支所 地域振興課,使用料,specific,22,23,1,false,1,ippansainyu.csv,16869
rd_2026_general_revenue_12_01_01_05_55_2135100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,55,スカイキャロット展望ロビー,世田谷総合支所 地域振興課,使用料,specific,514,529,15,false,1,ippansainyu.csv,16748
rd_2026_general_revenue_12_01_01_11_01_2135100000,rs_2026_general_revenue_12_01_01_11,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,11,地区会館,01,世田谷地域地区会館,世田谷総合支所 地域振興課,使用料,specific,23508,27536,4028,false,1,ippansainyu.csv,16749
